,online_order,book_table,rating,votes,rest_type,cuisines,cost,location
198,Yes,Yes,4.1,2339,Casual Dining,North Indian,1500.0,Banashankari
199,Yes,No,4.1,337,Quick Bites,Chinese,300.0,Banashankari
200,Yes,No,3.9,135,Casual Dining,North Indian,800.0,Banashankari
201,Yes,No,3.6,172,Casual Dining,North Indian,700.0,Banashankari
202,Yes,No,3.6,105,Casual Dining,Vietnamese,700.0,Banashankari
203,Yes,No,4.2,504,Cafe,Cafe,550.0,Banashankari
204,Yes,No,3.2,36,Quick Bites,Fast Food,200.0,Banashankari
205,Yes,No,3.1,39,Quick Bites,North Indian,300.0,Banashankari
206,Yes,No,3.1,5,Casual Dining,North Indian,500.0,Banashankari
207,Yes,No,3.7,0,Quick Bites,North Indian,300.0,Banashankari
208,Yes,Yes,4.3,1129,Casual Dining,Italian,1300.0,Banashankari
209,Yes,No,3.9,56,Quick Bites,North Indian,350.0,Banashankari
210,Yes,No,4.3,860,Dessert Parlor,Desserts,500.0,Banashankari
211,Yes,No,3.8,412,Casual Dining,Andhra,700.0,Banashankari
212,Yes,Yes,3.9,142,Casual Dining,Mangalorean,1000.0,Banashankari
213,Yes,No,3.0,23,Quick Bites,Andhra,400.0,Banashankari
214,Yes,No,3.6,143,Casual Dining,South Indian,750.0,Banashankari
215,Yes,Yes,2.8,80,Casual Dining,South Indian,500.0,Banashankari
216,Yes,No,3.6,16,Casual Dining,South Indian,400.0,Banashankari
217,Yes,No,4.4,181,Beverage Shop,Beverages,250.0,Banashankari
218,Yes,No,3.8,70,Quick Bites,North Indian,200.0,Banashankari
219,Yes,No,3.8,164,Quick Bites,Pizza,600.0,Banashankari
220,Yes,No,3.6,58,Quick Bites,Cafe,650.0,Banashankari
221,No,No,3.8,148,Casual Dining,North Indian,550.0,Banashankari
222,No,No,3.9,206,Quick Bites,South Indian,450.0,Banashankari
223,No,No,3.7,0,Bakery,Bakery,300.0,Banashankari
224,No,No,3.7,0,Dessert Parlor,Ice Cream,200.0,Banashankari
225,No,No,3.6,16,Quick Bites,South Indian,300.0,Banashankari
226,No,No,3.7,217,Casual Dining,North Indian,450.0,Banashankari
227,No,No,3.6,46,Quick Bites,Andhra,450.0,Banashankari
228,No,No,3.8,148,Quick Bites,Fast Food,150.0,Banashankari
229,No,No,3.4,30,Dessert Parlor,Desserts,250.0,Banashankari
230,No,No,3.6,8,Casual Dining,North Indian,800.0,Banashankari
231,No,No,3.3,4,Quick Bites,South Indian,250.0,Banashankari
232,No,No,3.5,15,Bakery,Bakery,400.0,Banashankari
233,No,No,3.7,0,Quick Bites,South Indian,100.0,Banashankari
234,No,No,3.7,0,Quick Bites,North Indian,300.0,Banashankari
235,No,No,3.7,0,Quick Bites,North Indian,200.0,Banashankari
236,Yes,No,3.4,9,Quick Bites,Street Food,200.0,Banashankari
237,No,No,3.7,0,Quick Bites,North Indian,350.0,Banashankari
238,Yes,No,3.7,31,Quick Bites,South Indian,300.0,Banashankari
239,Yes,No,2.9,177,Casual Dining,North Indian,700.0,Banashankari
240,Yes,No,3.7,22,Sweet Shop,Mithai,250.0,Banashankari
241,Yes,No,3.5,10,Beverage Shop,Juices,100.0,Banashankari
242,Yes,No,3.7,136,Quick Bites,Salad,600.0,Banashankari
243,Yes,No,2.9,35,Quick Bites,North Indian,250.0,Banashankari
244,Yes,No,4.1,185,Quick Bites,Juices,200.0,Banashankari
245,Yes,No,3.2,17,Cafe,Cafe,900.0,Banashankari
246,Yes,No,3.8,155,Casual Dining,South Indian,400.0,Banashankari
247,Yes,No,3.8,42,Quick Bites,South Indian,300.0,Banashankari
248,Yes,No,3.8,286,Casual Dining,North Indian,600.0,Banashankari
249,Yes,No,3.8,160,Casual Dining,North Indian,700.0,Banashankari
250,Yes,No,3.8,59,Casual Dining,North Indian,750.0,Banashankari
251,Yes,No,3.5,90,Casual Dining,Seafood,500.0,Banashankari
252,Yes,No,3.7,51,Quick Bites,South Indian,350.0,Banashankari
253,Yes,No,4.0,89,Quick Bites,South Indian,200.0,Banashankari
254,Yes,No,3.6,18,Quick Bites,Fast Food,250.0,Banashankari
255,Yes,No,3.9,40,Casual Dining,North Indian,600.0,Banashankari
256,Yes,No,2.5,35,Quick Bites,Fast Food,200.0,Banashankari
257,Yes,No,3.4,89,Quick Bites,North Indian,250.0,Banashankari
258,Yes,No,3.2,11,Quick Bites,Beverages,150.0,Banashankari
259,Yes,No,3.6,62,Quick Bites,Italian,600.0,Banashankari
260,Yes,No,3.9,33,Dessert Parlor,Desserts,300.0,Banashankari
261,Yes,No,3.8,32,Sweet Shop,Desserts,250.0,Banashankari
262,Yes,No,4.1,139,Casual Dining,North Indian,550.0,Banashankari
263,Yes,No,3.2,154,Quick Bites,Fast Food,300.0,Banashankari
264,Yes,No,3.6,14,Bakery,Bakery,350.0,Banashankari
265,Yes,No,3.7,237,Quick Bites,South Indian,200.0,Banashankari
266,Yes,No,3.9,388,Casual Dining,Biryani,650.0,Banashankari
267,Yes,No,3.9,128,Casual Dining,South Indian,500.0,Banashankari
268,Yes,Yes,4.1,1875,Casual Dining,North Indian,1200.0,Banashankari
269,Yes,No,3.8,90,Cafe,Cafe,650.0,Banashankari
270,Yes,No,3.1,7,Quick Bites,Italian,250.0,Banashankari
271,Yes,No,3.7,38,Casual Dining,South Indian,400.0,Banashankari
272,Yes,No,4.2,179,Delivery,Pizza,600.0,Banashankari
273,Yes,No,4.0,43,Dessert Parlor,Desserts,250.0,Banashankari
274,Yes,No,4.3,275,Quick Bites,South Indian,100.0,Banashankari
275,Yes,No,3.7,323,Casual Dining,Chinese,850.0,Banashankari
276,Yes,No,3.1,28,Casual Dining,South Indian,400.0,Banashankari
277,Yes,No,3.9,18,Quick Bites,South Indian,200.0,Banashankari
278,Yes,No,3.3,6,Quick Bites,Street Food,100.0,Banashankari
279,Yes,No,3.7,0,Dessert Parlor,Beverages,100.0,Banashankari
280,Yes,No,4.3,322,Casual Dining,South Indian,400.0,Banashankari
281,Yes,No,2.6,157,Cafe,Cafe,450.0,Banashankari
282,Yes,No,3.9,543,Quick Bites,South Indian,300.0,Banashankari
283,Yes,No,3.7,180,Cafe,Cafe,500.0,Banashankari
284,Yes,No,4.2,444,Quick Bites,South Indian,100.0,Banashankari
285,Yes,No,3.9,134,Quick Bites,Street Food,400.0,Banashankari
286,Yes,No,3.8,577,Casual Dining,North Indian,900.0,Banashankari
287,Yes,No,4.2,60,Quick Bites,South Indian,200.0,Banashankari
288,Yes,No,3.9,144,Casual Dining,North Indian,550.0,Banashankari
289,Yes,No,4.1,787,Casual Dining,Chinese,800.0,Banashankari
290,Yes,No,3.6,16,Quick Bites,South Indian,200.0,Banashankari
291,Yes,No,3.6,84,Quick Bites,South Indian,250.0,Banashankari
292,Yes,No,3.6,95,Quick Bites,South Indian,150.0,Banashankari
293,Yes,Yes,4.0,349,Casual Dining,Seafood,1200.0,Banashankari
294,Yes,No,3.7,248,Quick Bites,North Indian,400.0,Banashankari
295,Yes,No,4.1,216,Cafe,Cafe,500.0,Banashankari
296,Yes,No,3.7,0,Casual Dining,Biryani,400.0,Banashankari
297,Yes,No,4.0,324,Cafe,Cafe,700.0,Banashankari
298,Yes,No,2.6,231,Quick Bites,North Indian,400.0,Banashankari
299,Yes,No,3.4,102,Casual Dining,South Indian,400.0,Banashankari
300,Yes,No,3.9,133,Cafe,Cafe,800.0,Banashankari
301,Yes,No,2.8,45,Casual Dining,Pizza,800.0,Banashankari
302,Yes,No,3.9,149,Quick Bites,Fast Food,300.0,Banashankari
303,Yes,No,3.8,75,Quick Bites,Fast Food,200.0,Banashankari
304,Yes,No,4.0,53,Delivery,Mexican,600.0,Banashankari
305,Yes,Yes,4.2,815,Casual Dining,North Indian,900.0,Banashankari
306,Yes,Yes,4.0,633,Casual Dining,North Indian,800.0,Banashankari
307,Yes,No,3.5,56,Dessert Parlor,Ice Cream,400.0,Banashankari
308,Yes,No,3.0,82,Quick Bites,South Indian,300.0,Banashankari
309,Yes,No,3.7,35,Quick Bites,Fast Food,200.0,Banashankari
310,Yes,No,3.6,20,Quick Bites,Juices,150.0,Banashankari
311,Yes,No,3.1,14,Quick Bites,South Indian,250.0,Banashankari
312,Yes,No,3.9,70,Dessert Parlor,Fast Food,400.0,Banashankari
313,Yes,No,3.9,91,Cafe,Cafe,300.0,Banashankari
314,Yes,No,3.6,45,Quick Bites,Biryani,200.0,Banashankari
315,Yes,No,3.4,7,Quick Bites,North Indian,250.0,Banashankari
316,Yes,No,3.8,28,Quick Bites,Fast Food,150.0,Banashankari
317,Yes,No,3.6,24,Casual Dining,North Indian,600.0,Banashankari
318,Yes,No,3.8,36,Dessert Parlor,Desserts,200.0,Banashankari
319,Yes,No,3.5,11,Quick Bites,Fast Food,200.0,Banashankari
320,Yes,No,3.8,77,Cafe,Cafe,650.0,Banashankari
321,Yes,No,3.2,8,Sweet Shop,Mithai,100.0,Banashankari
322,Yes,No,3.7,14,Quick Bites,South Indian,100.0,Banashankari
323,Yes,No,3.8,210,Casual Dining,North Indian,600.0,Banashankari
324,Yes,No,4.1,130,Cafe,Cafe,650.0,Banashankari
325,Yes,No,4.1,30,Beverage Shop,Beverages,100.0,Banashankari
326,Yes,No,3.8,144,Cafe,Chinese,700.0,Banashankari
327,Yes,No,3.4,11,Bar,North Indian,800.0,Banashankari
328,Yes,No,3.7,133,Casual Dining,Chinese,700.0,Banashankari
329,Yes,No,4.0,136,Quick Bites,South Indian,350.0,Banashankari
330,Yes,No,3.1,4,Quick Bites,South Indian,200.0,Banashankari
331,Yes,No,3.5,11,Sweet Shop,Mithai,200.0,Banashankari
332,Yes,No,3.8,74,Quick Bites,South Indian,300.0,Banashankari
333,Yes,No,3.7,30,Quick Bites,South Indian,300.0,Banashankari
334,Yes,No,3.0,7,Quick Bites,South Indian,200.0,Banashankari
335,Yes,No,3.8,75,Cafe,Cafe,200.0,Banashankari
336,Yes,No,3.7,54,Cafe,Cafe,600.0,Banashankari
337,Yes,No,3.6,23,Kiosk,Beverages,100.0,Banashankari
338,Yes,No,3.2,119,Casual Dining,North Indian,400.0,Banashankari
339,Yes,No,3.7,73,Quick Bites,Biryani,400.0,Banashankari
340,Yes,No,3.4,58,Cafe,Cafe,400.0,Banashankari
341,Yes,No,3.6,129,Casual Dining,Mangalorean,600.0,Banashankari
342,Yes,No,3.6,24,Quick Bites,Biryani,250.0,Banashankari
343,Yes,No,3.0,175,Quick Bites,Chinese,400.0,Banashankari
344,Yes,No,3.7,21,Quick Bites,South Indian,300.0,Banashankari
345,Yes,No,3.5,41,Food Truck,Pizza,400.0,Banashankari
346,Yes,No,3.6,35,Quick Bites,Seafood,300.0,Banashankari
347,Yes,No,4.1,176,Casual Dining,Andhra,800.0,Banashankari
348,Yes,No,3.5,45,Beverage Shop,Beverages,300.0,Banashankari
349,Yes,No,3.7,47,Quick Bites,Fast Food,400.0,Banashankari
350,Yes,Yes,3.7,36,Casual Dining,Chinese,650.0,Banashankari
351,Yes,No,3.8,52,Beverage Shop,Beverages,400.0,Banashankari
352,Yes,No,2.7,123,Quick Bites,Fast Food,200.0,Banashankari
353,Yes,No,3.6,59,Casual Dining,North Indian,700.0,Banashankari
354,Yes,No,3.2,4,Quick Bites,South Indian,300.0,Banashankari
355,Yes,No,3.8,101,Quick Bites,Biryani,400.0,Banashankari
356,Yes,No,3.7,54,Beverage Shop,Desserts,400.0,Banashankari
357,Yes,No,3.7,0,Quick Bites,South Indian,200.0,Banashankari
358,Yes,No,3.6,22,Quick Bites,Fast Food,200.0,Banashankari
359,Yes,No,3.1,31,Takeaway,Rolls,250.0,Banashankari
360,Yes,No,3.0,29,Cafe,Cafe,500.0,Banashankari
361,Yes,No,3.4,6,Beverage Shop,Beverages,100.0,Banashankari
362,Yes,No,3.0,22,Quick Bites,South Indian,250.0,Banashankari
363,Yes,No,2.9,11,Quick Bites,North Indian,500.0,Banashankari
364,Yes,No,3.9,101,Quick Bites,South Indian,150.0,Banashankari
365,Yes,Yes,4.1,442,Pub,Continental,1200.0,Banashankari
366,Yes,No,3.5,155,Quick Bites,Biryani,400.0,Banashankari
367,Yes,No,3.4,12,Beverage Shop,Beverages,150.0,Banashankari
368,Yes,No,3.6,15,Quick Bites,South Indian,100.0,Banashankari
369,Yes,No,3.5,10,Quick Bites,South Indian,200.0,Banashankari
370,Yes,No,3.8,25,Quick Bites,South Indian,300.0,Banashankari
371,Yes,No,3.8,61,Quick Bites,North Indian,300.0,Banashankari
372,Yes,No,3.7,23,Quick Bites,Chinese,300.0,Banashankari
373,Yes,No,3.8,25,Quick Bites,Sandwich,350.0,Banashankari
374,Yes,No,3.7,40,Quick Bites,South Indian,200.0,Banashankari
375,Yes,No,3.3,4,Quick Bites,Rolls,100.0,Banashankari
376,Yes,No,3.4,8,Quick Bites,Fast Food,150.0,Banashankari
377,Yes,No,3.5,32,Quick Bites,North Indian,300.0,Banashankari
378,Yes,No,3.3,10,Quick Bites,South Indian,200.0,Banashankari
379,Yes,No,3.4,6,Quick Bites,Fast Food,300.0,Banashankari
380,Yes,No,3.8,53,Quick Bites,Ice Cream,250.0,Banashankari
381,Yes,No,3.7,67,Casual Dining,North Indian,700.0,Banashankari
382,Yes,No,2.9,23,Sweet Shop,Mithai,250.0,Banashankari
383,Yes,No,3.4,19,Quick Bites,South Indian,200.0,Banashankari
384,Yes,No,3.6,24,Quick Bites,Desserts,300.0,Banashankari
385,Yes,No,4.0,232,Quick Bites,South Indian,400.0,Banashankari
386,Yes,No,3.9,221,Casual Dining,Chinese,700.0,Banashankari
387,Yes,Yes,4.1,1063,Casual Dining,Italian,1200.0,Banashankari
388,Yes,No,3.7,93,Quick Bites,Street Food,200.0,Banashankari
389,Yes,No,3.9,233,Casual Dining,Italian,800.0,Banashankari
390,Yes,No,3.9,211,Casual Dining,Fast Food,500.0,Banashankari
391,Yes,No,4.0,1778,Quick Bites,North Indian,200.0,Banashankari
